CdStationMesureEauxSurface,Température,pH,O2_dissous,Conductivité,MES,Turbidité,Carbone_org,Nitrates,Phosphore_total,Azote_Kjeldahl,Orthophosphates,Ammonium,Nitrites,DBO5,DCO,cluster
02064000,9.799999999999999,7.470833333333334,9.725,119.75,19.441666666666666,9.075000000000001,3.2583333333333333,4.516666666666667,0.0775,0.6416666666666667,0.11933333333333333,0.11333333333333334,0.04416666666666667,1.4916666666666665,12.5,0
02064770,8.950000000000001,7.625,11.166666666666666,97.83333333333333,17.8,7.266666666666667,2.783333333333333,4.283333333333333,0.085,0.5666666666666667,0.21066666666666667,0.06666666666666667,0.013333333333333334,1.2,14.5,0
02065090,8.666666666666666,7.516666666666667,10.366666666666667,82.08333333333333,5.941666666666666,2.5416666666666665,2.3333333333333335,3.1999999999999997,0.024166666666666666,0.5,0.050166666666666665,0.050833333333333335,0.011666666666666667,0.9583333333333334,9.083333333333334,0
02065280,8.841666666666667,7.4624999999999995,10.408333333333333,75.83333333333333,12.066666666666668,5.166666666666667,3.1,2.6916666666666664,0.024166666666666666,0.5166666666666667,0.06341666666666666,0.051666666666666666,0.013333333333333334,1.075,11.833333333333334,0
02065500,9.916666666666666,7.483333333333333,10.458333333333334,85.0,8.758333333333333,3.779166666666667,3.4,2.4250000000000003,0.04750000000000001,0.6,0.0615,0.09083333333333334,0.01916666666666667,1.3083333333333333,10.333333333333334,0
02066000,9.672727272727274,7.654545454545455,9.981818181818182,117.1,16.0,7.00909090909091,3.6,3.190909090909091,0.07181818181818182,0.5818181818181818,0.12427272727272727,0.10090909090909092,0.03909090909090909,1.4727272727272727,13.909090909090908,0
02067000,9.427272727272728,7.704545454545454,10.227272727272727,119.0,13.836363636363636,7.936363636363637,3.527272727272727,3.9818181818181815,0.05454545454545454,0.5818181818181819,0.10590909090909091,0.07363636363636364,0.034545454545454546,1.5272727272727273,14.163636363636364,0
02067150,10.354545454545455,7.6863636363636365,9.818181818181818,138.0,16.681818181818183,7.445454545454546,3.2363636363636363,3.8818181818181823,0.06181818181818182,0.509090909090909,0.12881818181818183,0.08181818181818182,0.057272727272727274,1.4272727272727272,9.818181818181818,0
02067400,9.958333333333334,7.858333333333333,9.616666666666667,417.6666666666667,25.0,20.53,5.308333333333334,14.299999999999999,0.06583333333333334,0.7583333333333333,0.14708333333333334,0.06,0.05583333333333334,1.1916666666666667,17.25,3
02067800,9.492307692307692,7.834615384615384,10.215384615384616,377.38461538461536,23.984615384615385,19.99230769230769,4.6923076923076925,11.192307692307692,0.10769230769230768,0.7692307692307693,0.22961538461538464,0.07307692307692308,0.08153846153846155,1.323076923076923,15.384615384615385,3
02068500,9.633333333333333,7.729166666666667,10.466666666666667,203.58333333333334,24.183333333333334,9.375,3.516666666666667,5.375,0.08416666666666667,0.5916666666666667,0.13175,0.07333333333333333,0.0575,1.3666666666666665,13.75,0
02068800,9.383333333333333,7.733333333333333,10.483333333333334,247.66666666666666,8.0,4.8500000000000005,4.05,5.441666666666666,0.04833333333333333,0.6166666666666667,0.09533333333333333,0.08,0.05833333333333333,1.5999999999999999,11.0,0
02069100,9.723076923076924,7.915384615384616,10.384615384615385,464.61538461538464,31.307692307692307,21.638461538461538,5.038461538461538,10.938461538461537,0.1176923076923077,0.8,0.24592307692307694,0.0776923076923077,0.08384615384615385,1.4230769230769231,17.076923076923077,3
02070000,10.683333333333332,7.841666666666666,10.041666666666666,308.0,11.9,11.441666666666668,4.375,7.283333333333334,0.07416666666666667,0.6083333333333333,0.12866666666666668,0.09666666666666666,0.06,1.2333333333333334,12.75,2
02070250,10.666666666666666,7.716666666666666,9.5,249.66666666666666,12.633333333333333,9.583333333333334,3.9333333333333336,5.666666666666667,0.07166666666666667,0.5666666666666667,0.15466666666666667,0.09833333333333333,0.05666666666666667,1.5,9.666666666666666,2
02070750,10.633333333333333,8.016666666666667,10.200000000000001,711.0,61.86666666666667,27.433333333333334,7.416666666666667,14.75,0.14333333333333334,1.1666666666666667,0.3385,0.105,0.12666666666666668,2.1333333333333333,27.833333333333332,3
02070900,16.241666666666667,8.1,8.683333333333334,447.75,13.35,8.691666666666666,4.516666666666667,3.783333333333333,0.05583333333333334,0.625,0.11333333333333333,0.08666666666666667,0.041666666666666664,1.4333333333333333,15.333333333333334,2
02071050,10.007692307692308,8.026923076923076,9.907692307692308,1950.2307692307693,36.93846153846154,18.984615384615385,5.6461538461538465,18.361538461538462,0.14307692307692307,0.9692307692307692,0.32384615384615384,0.16384615384615384,0.13692307692307693,1.623076923076923,22.384615384615383,3
02072400,11.046153846153846,8.203846153846154,10.415384615384616,3298.769230769231,36.86153846153846,14.684615384615386,3.6692307692307695,8.223076923076924,0.07153846153846154,0.9384615384615385,0.16407692307692306,0.44153846153846155,0.12076923076923077,1.5384615384615385,19.076923076923077,3
02072700,11.416666666666666,8.141666666666667,10.4,2812.8333333333335,19.349999999999998,11.133333333333333,3.9499999999999997,6.8999999999999995,0.07833333333333332,0.9666666666666667,0.13283333333333333,0.34,0.13666666666666666,2.5,15.5,3
02074000,11.76923076923077,8.023076923076923,9.792307692307691,2459.0,21.323076923076922,14.015384615384617,3.6538461538461537,7.5,0.08076923076923077,0.9076923076923078,0.17376923076923076,0.46846153846153843,0.1630769230769231,1.6307692307692307,12.692307692307692,3
